aid,likeNum,commentsLen,reposts_count,region,content,contentLen,created_at,type,detailUrl,authorAvater,authorName,authorDetail,isVip
5101575066616281,6,0,3,无,#习主席拉美之行# 新华社快讯：习近平：中美双方要从两国人民福祉和国际社会共同利益出发，作出明智选择，继续探寻两个大国正确相处之道，实现中美两国在这个星球上长期和平共存。#习近平同拜登举行会晤# ​​​,196,2024-11-17,国际,https://weibo.com/5101575066616281/P0EYqrLcd,"https://tvax3.sinaimg.cn/crop.12.21.1059.1059.180/002ujtFnly8h8vga88q7gj60u00u0juh02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=aLGdoj82Oq",解放军报,https://weibo.com/2280198017,0
5101575005536416,8,0,4,无,#习主席拉美之行# 新华社快讯：习近平：中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主权、安全、发展利益的立场没有变，赓续中美人民传统友谊的愿望没有变。#习近平主席阐述中美关系四个没有变# ​​​,292,2024-11-17,国际,https://weibo.com/5101575005536416/P0EYkneh2,"https://tvax3.sinaimg.cn/crop.12.21.1059.1059.180/002ujtFnly8h8vga88q7gj60u00u0juh02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=aLGdoj82Oq",解放军报,https://weibo.com/2280198017,0
5101574020137654,10,0,2,无,#习近平秘鲁巴西行#​​​【#习近平谈中方发展对美关系四个没有变#】当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平说：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主 ​,468,2024-11-17,国际,https://weibo.com/5101574020137654/P0EWK0zOe,"https://tvax4.sinaimg.cn/crop.0.0.640.640.180/001Oy5dFly8h8vgo0vtpoj60hs0hsweu02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=tLSGXezu6F",中国日报,https://weibo.com/1663072851,0
5101573804654662,4,0,2,无,【#中方致力于中美关系稳定健康可持续发展#】#中方坚定维护自身主权# 习近平：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主权、安全、发展利益的立场没有变，赓续中美人民传统友谊的愿望没 ​,404,2024-11-17,国际,https://weibo.com/5101573804654662/P0EWojwTc,"https://tvax1.sinaimg.cn/crop.0.0.356.356.180/001PVG9Vly8h8vg7cogo6j609w09wjre02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=mlM08d4NP3",央广网,https://weibo.com/1683472727,0
5101573367923072,91,10,12,无,#习主席拉美之行#新华社快讯：习近平：中方愿同美国政府继续保持对话、拓展合作、管控分歧，努力实现中美关系平稳过渡，造福两国人民。#习近平同拜登举行会晤#​,150,2024-11-17,国际,https://weibo.com/5101573367923072/P0EVGxf9u,"https://tvax2.sinaimg.cn/crop.58.61.875.875.180/001R0E0aly8h8vg6xx3srj60rs0rsdko02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=BYC4RwnAxS",新华社,https://weibo.com/1699432410,0
5101573220336153,871,89,131,无,#习近平谈中美关系#【中美作为世界上两个大国，应该计天下利，多为当前动荡不安的世界注入确定性、提供正能量】当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平指出，很高兴再次同拜登总统先生见面。过去4年，中美关系虽然历经跌宕起伏，但在我们两人领航把舵下，也开展了卓有成 ​,1374,2024-11-17,国际,https://weibo.com/5101573220336153/P0EVs1prP,"https://tvax4.sinaimg.cn/crop.0.0.1018.1018.180/0033ImPzly8h8vgemh8kxj60sa0sadgw02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=Zq5lV9DzM6",人民日报,https://weibo.com/2803301701,0
5101572793827828,629,52,134,无,#习主席秘鲁巴西之行# #中美元首握手合影#【独家视频 | 会见开始前 #习近平同拜登握手合影#】当地时间11月16日下午，中美元首会见开始前，习近平同拜登握手合影。http://t.cn/A6nrojrZ http://t.cn/A6nroY7a ​​​,199,2024-11-17,国际,https://weibo.com/5101572793827828/P0EULg3Na,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/002TLsr9ly8hmxa6f543uj60go0gowfl02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=guTAQSMcQh",央视新闻,https://weibo.com/2656274875,0
5101572438884515,5,0,2,无,#习近平秘鲁巴西行#​​​ 习近平：中美关系的发展历程，也印证了中美建交45年来的经验和启示。如果两国做伙伴、做朋友，求同存异、彼此成就，中美关系就能够得到长足发展。如果把对方当对手、当敌人，恶性竞争、互相伤害，中美关系就会遭遇波折甚至倒退。#习近平同拜登举行会晤# ​​​（新华社） ​,276,2024-11-17,国际,https://weibo.com/5101572438884515/P0EUbBhgD,"https://tvax4.sinaimg.cn/crop.0.0.640.640.180/001Oy5dFly8h8vgo0vtpoj60hs0hsweu02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=tLSGXezu6F",中国日报,https://weibo.com/1663072851,0
5101572000842433,16,2,6,无,【#习近平谈中方发展对美关系四个没有变#】新华社利马11月16日电　当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平说：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主权 ​,434,2024-11-17,国际,https://weibo.com/5101572000842433/P0ETu3x9D,"https://tvax3.sinaimg.cn/crop.8.11.119.119.180/0034c2ttly8h8vg8d8h2ij6046046q2t02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=awuF0%2F6Gm%2F",新华网,https://weibo.com/2810373291,0
5101571964666488,144,15,27,无,#习主席秘鲁巴西之行#【#中方致力于中美关系稳定健康可持续发展#】#中方坚定维护自身主权# 习近平：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主权、安全、发展利益的立场没有变，赓续中美 ​,415,2024-11-17,国际,https://weibo.com/5101571964666488/P0ETqjzXW,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/002TLsr9ly8hmxa6f543uj60go0gowfl02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=guTAQSMcQh",央视新闻,https://weibo.com/2656274875,0
5101571376152947,1,0,2,无,#中美元首会见#【#中美关系总体实现了稳定#】习近平指出，很高兴再次同拜登总统先生见面。过去4年，中美关系虽然历经跌宕起伏，但在我们两人领航把舵下，也开展了卓有成效的对话和合作，总体实现了稳定。#习主席秘鲁巴西之行# @央视新闻 ​,219,2024-11-17,国际,https://weibo.com/5101571376152947/P0EStpOF5,"https://tvax1.sinaimg.cn/crop.0.0.356.356.180/001PVG9Vly8h8vg7cogo6j609w09wjre02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=mlM08d4NP3",央广网,https://weibo.com/1683472727,0
5101571127640502,57,9,15,无,#习主席拉美之行#【#习近平谈中方发展对美关系四个没有变#】新华社利马11月16日电　当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平说：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变， ​,479,2024-11-17,国际,https://weibo.com/5101571127640502/P0ES4w3DU,"https://tvax2.sinaimg.cn/crop.58.61.875.875.180/001R0E0aly8h8vg6xx3srj60rs0rsdko02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=BYC4RwnAxS",新华社,https://weibo.com/1699432410,0
5101570954100801,2,1,1,无,【#中美元首会见#】当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。#习主席秘鲁巴西之行##习近平会见美国总统拜登#@央视新闻 ​,131,2024-11-17,国际,https://weibo.com/5101570954100801/P0ERNhcNX,"https://tvax1.sinaimg.cn/crop.0.0.356.356.180/001PVG9Vly8h8vg7cogo6j609w09wjre02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=mlM08d4NP3",央广网,https://weibo.com/1683472727,0
5101570639527975,5,0,2,无,　　新华社利马11月16日电　当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平说：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变，坚定维护自身主权、安全、发展利益的立场没有变，赓续中 ​,404,2024-11-17,国际,https://weibo.com/5101570639527975/P0ERhDYF1,"https://tvax1.sinaimg.cn/crop.154.287.504.504.180/002SMfjzly8h8vo30bszpj614p0u075o02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=JLXfcX%2FNo%2F",新华国际,https://weibo.com/2641686425,0
5101569857290386,8,1,1,无,#习近平秘鲁巴西行#​​​ 习近平：中美双方要从两国人民福祉和国际社会共同利益出发，作出明智选择，继续探寻两个大国正确相处之道，实现中美两国在这个星球上长期和平共存。#习近平同拜登举行会晤# ​​​（新华社） ​,202,2024-11-17,国际,https://weibo.com/5101569857290386/P0EQ1uAyS,"https://tvax4.sinaimg.cn/crop.0.0.640.640.180/001Oy5dFly8h8vgo0vtpoj60hs0hsweu02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=tLSGXezu6F",中国日报,https://weibo.com/1663072851,0
5101569525416021,0,12,0,无,#哈马斯高官敦促特朗普对以施压#【哈马斯高官：愿意停火，请特朗普向以施压】据法新社11月15日报道，哈马斯一名高级官员15日说，该组织“愿意在加沙实现停火”，并敦促美国当选总统特朗普向以色列施压以结束战争。报道称，哈马斯政治局成员巴西姆·纳伊姆告诉法新社记者：“如果有关方面提出停火提案 ​,765,2024-11-17,国际,https://weibo.com/5101569525416021/P0EPumIXb,"https://tvax2.sinaimg.cn/crop.0.0.500.500.180/668c2e74ly8fiw8mjlnxmj20dw0dwwfz.jpg?KID=imgbed,tva&Expires=1731823304&ssig=J3hnvQSznM",兰州新世相,https://weibo.com/1720462964,1
5101569125122281,1,0,2,无,【习近平会见美国总统拜登】当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平指出，很高兴再次同拜登总统先生见面。过去4年，中美关系虽然历经跌宕起伏，但在我们两人领航把舵下，也开展了卓有成效的对话和合作，总体实现了稳定。http://t.cn/A6nroXdo ​,253,2024-11-17,国际,https://weibo.com/5101569125122281/P0EOQluxr,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/002Fmvqnly8h8vg9uu9m9j60u00u0abh02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=5NsCuHArk9",国际在线新闻,https://weibo.com/2443459455,0
5101568581698266,43,3,6,无,#习主席拉美之行# 新华社快讯：习近平：中美关系的发展历程，也印证了中美建交45年来的经验和启示。如果两国做伙伴、做朋友，求同存异、彼此成就，中美关系就能够得到长足发展。如果把对方当对手、当敌人，恶性竞争、互相伤害，中美关系就会遭遇波折甚至倒退。#习近平同拜登举行会晤# ​,263,2024-11-17,国际,https://weibo.com/5101568581698266/P0ENY77No,"https://tvax2.sinaimg.cn/crop.58.61.875.875.180/001R0E0aly8h8vg6xx3srj60rs0rsdko02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=BYC4RwnAxS",新华社,https://weibo.com/1699432410,0
