word,count,scores
没买过,1,0.33864895989693145
想想,1,0.46846846846846857
觉得,1,0.5262327818078083
恶心,1,0.12413793103448256
滋润,1,0.6666666666666666
三次,1,0.3870764704347681
确实,1,0.6538461538461541
留下,1,0.519774011299435
传说,1,0.6712328767123289
听说,1,0.5778894472361809
很久很久,1,0.7951932684848546
以前,1,0.5262327818078083
水域,1,0.5
石楠,1,0.7826653358894131
味道,1,0.42975206611570216
海蓝,1,0.9531028732832902
omg,1,0.5
变得,1,0.6016597510373444
海洋,1,0.8076923076923077
创伤,1,0.7499999999999999
弧菌,1,0.5
检测,1,0.4090909090909093
阳性,1,0.5
潜水,1,0.5
浪漫,1,0.8387096774193549
水下,1,0.7499999999999999
婚纱照,1,0.40000000000000013
上天,1,0.8999999999999999
交叉感染,1,0.5531549239358612
海里,1,0.375
试试,1,0.7525773195876289
鲍鱼,1,0.19999999999999996
正常,1,0.5262327818078083
更好,1,0.7402366332819819
结果,1,0.5262327818078083
生出,1,0.5954574914737661
适度,1,0.8571428571428571
小鱼,1,0.9166666666666667
过度,1,0.3684210526315791
洗澡,1,0.2907348242811503
实用,1,0.676470588235294
造成,1,0.5262327818078083
技巧,1,0.6712328767123289
泳池,1,0.5434782608695654
海边,1,0.7594936708860758
负担,1,0.8888888888888888
偷偷,1,0.9333333333333333
撒尿,1,0.09093661119089869
MapleSugar,1,0.5
__,1,0.2500000000000001
每天,1,0.5262327818078083
25,1,0.4273504273504277
反对,1,0.692307692307692
海水,1,0.6875000000000002
不脏,1,0.5
有没有,1,0.35387860323412235
感受,1,0.7176165803108807
钻进去,1,0.16972887983127904
加入,1,0.5262327818078083
土豆,1,0.7499999999999999
救世主,1,0.8009470333910829
KaSaeki,1,0.5
流油,1,0.47254225648700543
不来,1,0.3693910911319984
20,1,0.3739376770538242
萌萌,1,0.9168652989221631
冬冬,1,0.849099269523228
拐狗,1,0.8045555287471536
不吃,1,0.3624014722644191
板栗,1,0.5
杂货铺,1,0.043075923199741406
一口,1,0.4508547008547008
徐小八,1,0.8209588811433709
方山,1,0.5
牙子,1,0.5287446894474102
谁家,1,0.2500000000000001
大头,1,0.36363636363636365
Renaissance,1,0.5
仓仓,1,0.1837233963534416
管理,1,0.4642857142857145
闻一闻,1,0.2195692436473886
新轩,1,0.5
小狐,1,0.9009096538717508
拉面馆,1,0.2784174005786142
吓死,1,0.3150105708245242
几个,1,0.5262327818078083
距离,1,0.5341880341880341
Wi,1,0.5
张弛,1,0.5849604429299161
有度,1,0.8571428571428571
Fi,1,0.5
信号,1,0.3535353535353537
不好,1,0.24509033778476041
做到,1,0.5262327818078083
踏实,1,0.6363636363636368
精彩,1,0.6973684210526313
H1eieseOo,1,0.5
一起,1,0.5262327818078083
东西,1,0.5285524568393094
A6m5zZPG,1,0.5
A6m52Vr5,1,0.5
周五,1,0.6666666666666666
愉快,1,0.5333333333333333
欢乐,1,0.6190476190476193
时光,1,0.8765432098765432
爆炒,1,0.11300407996574746
希望,1,0.562893081761006
天天开心,1,0.8834014393042217
非常,1,0.5262327818078083
赞同,1,0.56
围观,1,0.7499999999999999
冒个,1,0.5
帮转,1,0.5639796399399523
很美,1,0.9180397702086781
值得,1,0.7528735632183908
一赞,1,0.9178743961352657
理由,1,0.2971014492753621
棒棒,1,0.9969959729506049
哈哈哈,1,0.8684210526315791
哎呀呀,1,0.5262327818078083
理解,1,0.6498855835240274
顾名思义,1,0.5
办好,1,0.4698647494623567
事儿,1,0.30769230769230804
主页,1,0.2500000000000001
第一条,1,0.5660333446087157
真的,1,0.5305096913137115
想当然,1,0.33333333333333337
选择,1,0.6148007590132829
假睫毛,1,0.4737672181921926
双眼皮,1,0.2976553250106694
眼睛,1,0.5632911392405064
神采,1,0.5
同时,1,0.5262327818078083
保持,1,0.5262327818078083
自然,1,0.7364864864864865
肤色,1,0.5
眼部,1,0.5
保湿,1,0.46440633789904484
以免,1,0.5262327818078083
出现,1,0.5262327818078083
细纹,1,0.5
脱妆,1,0.5
发现,1,0.4223529411764706
容易,1,0.5262327818078083
焦虑,1,0.7499999999999999
实际上,1,0.478723404255319
事情,1,0.5310492505353319
邻居,1,0.85
库存,1,0.5
互相,1,0.5262327818078083
哈哈哈哈,1,0.8684210526315791
你好,1,0.5312500000000001
王屯,1,0.5
友情,1,0.9230769230769229
攒钱,1,0.2237030145229516
珍贵,1,0.9473684210526315
第一次,1,0.4968751341867461
第一,1,0.5503512880562061
后面,1,0.5262327818078083
直接,1,0.5262327818078083
那里,1,0.5262327818078083
过生日,1,0.5925925925925922
生怕,1,0.9230769230769229
点错,1,0.4748649899417645
五个,1,0.5604395604395602
里面,1,0.5262327818078083
三个,1,0.4390476190476189
第一个,1,0.5503512880562061
互移,1,0.4737672181921908
哇塞,1,0.4324324324324327
超懂,1,0.5563615237224633
小窍门,1,0.5
content,1,0.5
缘分,1,0.9333333333333333
王道,1,0.8302866378416528
聪明绝顶,1,0.7541867734742718
小可爱,1,0.8104527874836536
索命,1,0.5
大长,1,0.19999999999999996
花瓣,1,0.7857142857142858
爱看,1,0.7922091176395719
谢谢,1,0.5965665236051504
对不起,1,0.27397260273972623
巨大,1,0.5262327818078083
back,1,0.5
注定,1,0.9310344827586208
没法,1,0.11111111111111116
命中注定,1,0.9951671723178128
越来越,1,0.5886075949367088
