word,count,scores
挨刀,4,0.5
lck,4,0.5
多少,4,0.5262327818078083
炫狗,4,0.8987733125265374
塔姆,4,0.7499999999999999
挺进,4,0.5
宙斯,4,0.9082846204657966
随便,4,0.28915662650602425
位移,4,0.676626165994372
上单,4,0.32919059228209524
这些,4,0.5262327818078083
主力,4,0.5
不能,4,0.3693910911319984
大伙,4,0.33333333333333337
为什么,3,0.5262327818078083
估计,3,0.3717579250720463
过量,3,0.19999999999999996
治疗,3,0.8
同时,3,0.5262327818078083
一起,3,0.5262327818078083
被动,3,0.9285714285714286
18,3,0.5434782608695654
人马,3,0.5
19,3,0.3384615384615387
20,3,0.3739376770538242
技能,3,0.9230769230769229
加上,3,0.5714285714285716
螳螂,3,0.08259403221119643
需要,3,0.5262327818078083
s12,3,0.5
下水道,3,0.21212121212121227
输出,3,0.5624999999999997
肯定,3,0.4865671641791043
三级,3,0.5
结果,3,0.5262327818078083
一把,3,0.4736842105263156
瑞兹,3,0.5
抓中,3,0.6690049906340555
只是,3,0.45000000000000007
gap,3,0.5
尽力,3,0.7058823529411765
周末,3,0.6710526315789469
gkd,3,0.5
涅槃,3,0.23082833962758653
几年,3,0.5492584745762712
那个,3,0.5262327818078083
有没有,3,0.35387860323412235
加油,3,0.9047619047619047
确实,3,0.6538461538461541
觉得,3,0.5262327818078083
第一,3,0.5503512880562061
碰瓷,3,0.010127071651386155
是不是,3,0.3693910911319984
两个,3,0.451171875
不要,3,0.5262327818078083
主播,3,0.5
喜欢,3,0.6994590939824207
扣帽子,3,0.28064275141459805
几个,3,0.5262327818078083
宙活,3,0.6481538974124577
还有,3,0.5262327818078083
一下,3,0.5262327818078083
桌角,3,0.3172193023850436
不行,3,0.26171874999999967
帖子,3,0.2556571578874878
二楼,3,0.44010438194506785
里面,3,0.5262327818078083
百分比,3,0.2500000000000001
投票,3,0.5
特别,3,0.606392694063927
整个,3,0.5262327818078083
看过,3,0.5875212430201505
成绩,3,0.7391304347826086
当然,3,0.5262327818078083
世界,3,0.9108695652173914
在意,3,0.589403973509934
画面,3,0.5806451612903224
天天,3,0.7444444444444442
一天,3,0.38121739130434773
躺平,3,0.5
不会,3,0.39570274709471487
中单,3,0.5420176128859131
卢仙,3,0.5
攻击力,3,0.9553988051799366
主打,3,0.5983606557377048
收益,3,0.8888888888888888
回归,3,0.9444444444444444
爪刀,3,0.5
排眼,3,0.34464448615195753
削弱,3,0.2500000000000001
应该,2,0.5262327818078083
下场,2,0.33333333333333337
嘎子,2,0.5
周二,2,0.16666666666666674
好多,2,0.5684647302904563
地图,2,0.7058823529411765
周四,2,0.6315789473684209
周六,2,0.5263157894736844
skt,2,0.5
时期,2,0.8181818181818182
上全,2,0.512352298160071
打打,2,0.7499999999999999
从没,2,0.35387860323412235
夺冠,2,0.5
应付,2,0.823529411764706
一共,2,0.1486486486486488
gen,2,0.5
ns,2,0.5
三个,2,0.4390476190476189
队上,2,0.8240506513651397
牲口,2,0.8333333333333333
哈哈哈哈,2,0.8684210526315791
实在,2,0.3047790802524796
程度,2,0.5
工作,2,0.5691358024691356
LPL,2,0.5
那句话,2,0.5269345494033295
社会,2,0.787781350482315
有用,2,0.7659574468085105
明显,2,0.5262327818078083
考虑,2,0.5262327818078083
重庆,2,0.48076923076923084
一条,2,0.5420560747663552
